	2019-Dec	2018-Dec	2018-Nov	2019-Apr	2019-Aug	2019-Feb	2019-Jan	2019-Jul	2019-Jun	2019-Mar	2019-May	2019-Nov	2019-Sep	2020-Aug	2020-Dec	2020-Feb	2020-Jan	2020-Jul	2020-Mar	2020-Nov	2020-Oct	2020-Sep	2021-Apr	2021-Jan	2021-Jun	2021-Mar	2021-May
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__32336bp__000183||full	3.9696975	10.468161	12.1727495	13.973145	10.061377	9.053031	8.88251	12.706675	10.690846	2.9725754	6.30194	4.994114	15.205241	6.310408	4.553583	5.6329226	7.0024076	2.922402	6.7037644	3.7422676	6.0372324	8.49162	1.1593834	3.9577143	2.4950233	1.9716657	0.981365
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__58369bp__000039||full	0.26834178	0.85076624	0.6716383	0.34982252	0	0	0.74284345	0	0	0.18929186	0	0.047923453	0	0.20285337	2.9291708	0.46776587	0.4751642	0.16663155	0.46316314	4.0603266	2.5486739	4.6723094	0.51633763	1.2084702	0.124438226	0.48989144	0.12586482
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__15865bp__001121||full	0.10805514	0.24490225	0	0	0	0	0	0	0	0	0	0.31876573	0.23961926	0	5.71668	0.10679852	0.110086605	0	0	3.4123032	7.150599	9.64933	1.1988053	3.3972688	0.43115687	1.6088806	0.6883501
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__24887bp__000418||full	0.6547646	0.41161802	0.4083534	0.08434553	4.938602	0	0.23168884	2.436577	0.57764083	0	0	0.76342946	8.693006	0	0.26320046	0.40063605	0.6032133	0	0.19421673	0.31501937	0.45021266	0.14820471	0.7833639	0.10705389	0.51026887	0.6468711	0.4440374
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__39207bp__000131||full	0.04138842	0.62445086	0.6288973	1.2444619	0.37583575	0.75262386	0.659666	0.5241707	2.0061522	0.26517594	4.3752913	0.049061604	0.28194347	0.3058309	0.1099908	0.07422182	0.10998805	0.12644295	0.25114965	0.08615734	0.06676276	0.23140551	0.097944446	0.08281668	0.6384517	0	0.16881494
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__71902bp__000012||full	1.9400374	0.68420357	0.6531	0.4213177	5.4643574	0.4573345	0.57512635	6.892172	4.21406	0.64948046	0.93486726	1.7646679	4.6620445	2.3398554	0.2126673	0.7103767	0.69723874	3.1474051	0.5047718	0.22701538	0.43501887	0.5364001	0.19267568	0.15601374	0.68778604	0.18433113	0.13418475
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__29809bp__000391||full	10.627868	5.6421137	4.3910804	0.2714118	10.733965	12.315063	6.618096	5.3684707	2.8351367	4.7619686	13.200359	13.636241	6.7661967	1.4275018	6.5188274	16.990202	23.880795	1.7419604	13.249324	8.83181	15.718463	4.7540584	4.251225	6.2607408	1.6674478	2.3815794	2.5399494
2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__142544bp__000004||full	0.9893114	6.6948824	4.0780196	1.2888627	33.239277	5.803589	4.8102593	21.574827	0.08614143	2.0563798	0.52340245	1.5951613	12.116258	8.183299	5.075207	4.4750967	6.329295	10.563434	2.6427305	7.651887	5.191762	9.222976	5.0045834	6.1227837	0.9178706	4.9108634	1.6318426
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__19262bp__001258||full	0	2.513139	2.4162664	0.16774452	0	1.0004048	1.0781072	0	0	0.17352986	0	0	0	0	0.06412991	0.0576473	0.07835678	0	0.31177923	0	0.22842728	1.2788092	0.12627931	0.55980766	0	0.0907686	0
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__14873bp__001463||full	0.24906088	0	0	2.6715448	0.08737255	0	0	0	0.23326449	0.7158937	0.54990786	0.14183468	0	0	0.46347636	0.5031473	0.42098916	0.15695672	0	0.6033349	1.9067568	0	0.57128626	0.20554066	0.48399594	2.8518996	1.1915612
