	2019-Dec	2018-Dec	2018-Nov	2019-Apr	2019-Aug	2019-Feb	2019-Jan	2019-Jul	2019-Jun	2019-Mar	2019-May	2019-Nov	2019-Sep	2020-Aug	2020-Dec	2020-Feb	2020-Jan	2020-Jul	2020-Mar	2020-Nov	2020-Oct	2020-Sep	2021-Apr	2021-Jan	2021-Jun	2021-Mar	2021-May
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__43940bp__000094||full	0	0.052672103	0	0	0.1492363	0	0	0	0	0	0	0	0.20102362	0.31389695	1.029111	0	0	0.11038849	0	2.3904476	10.217659	12.112452	0.33693314	0.8175061	0.117404774	0.25470218	0.28212413
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__42912bp__000098||full	7.0520024	2.1410162	3.0000231	0.22082148	0.49315834	0.48006245	0.73152274	0.19741501	0	0.15972905	0.06599393	2.736623	0.20085363	7.062777	3.3289766	6.792131	6.3866496	1.901995	1.6180203	2.9259965	6.471179	12.560995	0.60674393	2.4756045	0.064729534	2.0033917	0.27497312
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__42580bp__000101||full	0	0	0	0	0	0	0	0	0	0	0	0	0	8.569338	0.73658496	0	0	0	0	1.4447042	4.2386503	6.318382	0	0.5400756	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__42436bp__000106||full	0	0.06191889	0.047535826	0	0	0	0	0.056971148	0.13643715	0	0.7809545	0	0.046010204	3.943151	0.1287058	0	0	0	0	0.38935187	2.6927774	17.760996	0	0.066372916	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__41822bp__000107||full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.752626	0	0	0	0.1754149	1.0147027	3.5803318	17.599108	0	0.39685598	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__40749bp__000116||full	0	0	0	0	0	0	0	0	0	0	0	0	0.061842084	0.8407937	0	0	0	0	0	0	0.12471999	4.465673	0	0	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__40635bp__000119||full	1.0492725	0.6209272	0.59141296	3.2261524	0.12128342	0.65225524	0.86165947	0.1186023	0.16207564	0.604088	0.5492258	0.9627631	0.7721217	36.69948	13.069351	1.232932	0.78101885	0.34108537	1.4790335	12.61532	18.291786	17.580542	4.9188776	9.44375	2.0725276	2.704397	2.9378705
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__39096bp__000136||full	0.86542994	0.04089133	0	0.27066943	0	0	0.09558903	0	0	0.062269665	0.049052168	0.059251193	0	0.08213894	8.189021	6.3386025	6.8136296	0.080554485	3.0095446	4.442636	5.797872	13.834447	0.91680205	6.4243355	0.5072304	2.1556206	0.41584814
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__39036bp__000137||full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4944779	0	0	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__38528bp__000142||full	0	0	0	0	1.200234	0	0	0.11368466	0	0	0	0	0.36582813	3.931738	0.058967434	0	0	0	0	0.070288226	0.3002928	1.8676406	0	0	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__37909bp__000144||full	0.066518426	0	0	0	3.738224	0	0	0.29970425	0	0	0	0.39767528	4.198055	0	0	0	0	0	0	0.21653274	1.776772	4.1485806	0	0	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__37252bp__000149||full	0	0	0	0	0.3236439	0	0	0	0	0	0	0	0.12725957	0.11317398	0	0	0	0	0	0.10421799	0.5828517	3.9621768	0	0	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__36886bp__000154||full	0	0	0.040803686	0	0.11340112	0	0	0	0.22682856	0	0	0	0.03641698	20.204788	0.18537313	0	0	2.0658383	0	0.5885431	2.4654667	15.316184	0	0.13388897	0.32778904	0	0
