	X1.2018-Nov	X2.2018-Dec	X3.2019-Jan	X4.2019-Feb	X5.2019-Mar	X6.2019-Apr	X7.2019-May	X8.2019-Jun	X9.2019-Jul	X10.2019-Aug	X11.2019-Sep	X12.2019-Oct	X13.2019-Nov	X14.2019-Dec	X15.2020-Jan	X16.2020-Feb	X17.2020-Mar	X18.2020-Apr	X19.2020-May	X20.2020-Jun	X21.2020-Jul	X22.2020-Aug	X23.2020-Sep	X24.2020-Oct	X25.2020-Nov	X26.2020-Dec	X27.2021-Jan	X28.2021-Feb	X29.2021-Mar	X30.2021-Apr	X31.2021-May	X32.2021-Jun
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__229578bp__000001..full	6.1547594	3.806522	2.91084	0.5462734	0.34347576	0	0	0	0	0	0	0.208500965	0.41700193	0.048282508	0.07021075	0.08308006	0	0	0	0	0	0	0.459827	0.100429505	3.68937	1.4856609	0.7742226	0.3871113	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__119873bp__000010..full	1.3216848	1.0396806	0.31428784	0.3548174	0.22977017	0	0	0	0	0	0	0	0	0	0	0	0.33051544	0.24788658	0.16525772	0.08262886	0	0	0	0	0	0	0	0	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__99672bp__000014..full	0.6511146	0.52209294	0.44837227	0.46637985	0.7042828	0.71671	0.11174544	0.05145352	0.061727222	0.050369456	0.13892028	0.102659795	0.06639931	0.1048549	0.09312011	0.09862415	0.19941378	0.1988306825	0.198247585	0.1976644875	0.19708139	0.2492753	0.31634945	0.18913087	0.20274426	0.24530147	0.19815145	0.272374275	0.3465971	0.35363573	0.26981598	0.09449774
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__90748bp__000017..full	14.898502	18.227451	10.573475	8.869147	2.3522084	2.0546374	0	0.20067258	0.2168037	0.17537321	0.44689417	2.840421935	5.2339497	3.7415664	7.7175303	4.53444	3.7032378	2.87629085	2.0493439	1.22239695	0.39545	0.8788945	5.7909994	4.439057	10.733401	14.562129	12.485188	7.1349963	1.7848046	0.8745082	0.12470857	0.15243642
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__87441bp__000020..full	9.164163	6.1704617	5.294426	3.5738773	1.5367106	0.6087785	0.2123414	0.043216173	0	0	0.43216798	0.375290425	0.31841287	0.5374145	2.4934945	2.5898015	0.85081667	0.6381125025	0.425408335	0.2127041675	0	0	0.1604314	1.1829379	0.7386533	1.0905215	0.772689	0.48657427	0.20045954	0.24865061	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__84588bp__000022..full	3.5303214	4.193153	2.8471751	3.2642875	0.9430938	0.29363635	0.22182438	0.07861228	1.8209088	2.6756513	1.1295832	0.69101345	0.2524437	0	1.1048932	0.67338526	0.5562836	0.4172127	0.2781418	0.1390709	0	0	0.864055	0	0.74939084	0.52384794	0.64667404	0.32333702	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__70300bp__000044..full	17.912897	11.910754	3.718181	1.2709448	1.7277303	0.047743414	0.07747105	0.053659018	0	0.07297677	0.15302856	15.82028928	31.48755	14.2126465	3.2449934	5.7004395	1.1212515	1.029658625	0.93806575	0.846472875	0.75488	1.637789	2.2338917	22.07539	23.45731	14.745016	4.9824424	3.71279525	2.4431481	0.83924663	1.4550122	0.23768225
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__69359bp__000047..full	1.1640059	1.1081651	0.9226616	0.80639446	0.6746146	0.5303584	0.31456962	0.10966166	0.103263974	0.12984842	0.31416276	0.19167	0.06917724	0.07749849	0.043983363	0	0	0.02371754	0.04743508	0.07115262	0.09487016	0.0639487	0.04364153	0.14227922	0.19870913	0.13769366	0.09160719	0.07040502	0.04920285	0.06419554	0	0.16650666
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__69252bp__000048..full	4.011014	4.4128637	6.5599575	5.6932116	5.5139384	4.3960433	1.9186329	0.3665129	0.20298856	0.29435596	0.63046783	2.039251915	3.448036	4.743683	9.494413	8.841492	3.981194	3.135370865	2.28954773	1.443724595	0.59790146	1.060614	1.4408892	1.2143754	1.6631185	3.6303434	3.939828	5.19854525	6.4572625	5.0760083	1.7654548	0.9218295
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__65252bp__000054..full	25.562065	19.210545	20.059341	16.266317	3.274286	3.7880614	0.7123173	0.7578859	0.22790088	0.11715657	0.09215789	0.604545095	1.1169323	1.0057458	5.3996563	4.0036607	4.4735174	3.3789336925	2.284349985	1.1897662775	0.09518257	0.07151505	0.6360548	3.9870918	5.204175	5.57242	5.8759737	3.398584275	0.92119485	0.7481134	0.37618464	0.43351203
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__61635bp__000064..full	1.4752537	1.1394111	0.40527713	0.27278414	0.09631398	0	0.096595466	0	23.483171	10.612739	2.7883043	1.47300777	0.15771124	0.71282697	1.4464285	1.1785514	0.4337804	3.34433555	6.2548907	9.16544585	12.076001	5.8662705	2.3915892	0.55750954	0.15558796	0.07658247	0.09478903	0.047394515	0	0	0.9016929	6.9260807
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__58792bp__000070..full	30.692171	22.359623	32.768276	32.85251	10.30063	37.708378	3.3298533	1.8828486	1.0049521	1.740618	67.23504	40.174136	13.113232	8.239671	12.132291	7.128028	7.395006	5.6268094325	3.858612865	2.0904162975	0.32221973	0.28684857	2.80498	3.1328208	1.7306707	1.2513719	1.0703155	0.69345514	0.31659478	0.24235624	0.14216876	0.10408148
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__55527bp__000081..full	8.681664	7.6078053	4.732227	2.4609597	1.9065675	3.310519	1.1297672	0.38242117	0.057934366	0.12307758	4.86504	7.7725865	10.680133	10.6578245	3.6509693	5.883868	1.116484	0.8817582575	0.647032515	0.4123067725	0.17758103	0.078253895	0.30646464	0.2515781	0.10143204	0.15976064	0.06352808	0.03176404	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__54146bp__000090..full	36.531666	24.62992	9.10211	6.6638904	2.5706842	0.35842565	0.1052222	0.09253191	0	0.048890524	0.04732885	1.177804175	2.3082795	2.0027754	0.6914604	0.8582706	0.3125395	0.234404625	0.15626975	0.078134875	0	0	2.320942	0.7623506	0.8007666	0.5310038	0.4951803	0.3026935	0.1102067	0.073394	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__54094bp__000091..full	2.5240843	2.9154446	1.5797431	1.5352114	0.85266906	0.1658917	0.28577164	0.5653006	76.73885	40.85142	21.82428	13.22217835	4.6200767	2.7865539	1.1970062	1.1283492	1.0984937	1.0163096675	0.934125635	0.8519416025	0.76975757	3.8527594	13.873336	9.026547	3.5965693	1.9613476	1.2719773	0.924023715	0.57607013	0.39391148	0.41211963	0.616838
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__53478bp__000097..full	7.380171	5.303969	4.0612297	4.1720953	3.2619991	0.15570657	0.7003193	0.20424323	0.41164747	0.40441006	0.44294956	0.61490083	0.7868521	0.7929582	0.78014094	0.61036414	1.1640247	0.912097175	0.66016965	0.408242125	0.1563146	0.76206005	3.0447464	2.391273	1.44678	1.0606517	1.136706	1.13890715	1.1411083	0.7762493	0.67200786	0.21909352
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__52010bp__000106..full	3.6341312	3.656549	2.8736653	1.8387496	0.7713319	0.13132592	0.4821029	0.4355805	2.058157	2.7685978	2.8632915	1.764776	0.6662605	0.38476902	0.11088686	0.20206966	0.10880119	0.2103152	0.31182921	0.41334322	0.51485723	3.4830036	2.5760505	2.3695357	1.6963589	0.8131783	0.9088294	0.527780635	0.14673187	0.34446892	7.714963	9.977512
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__51748bp__000108..full	3.0007508	2.8025992	2.6425643	2.130376	1.9222244	2.780451	1.2345442	14.487526	10.182769	10.185334	11.417782	7.4246734	3.4315648	3.5581882	2.1335988	2.1129086	1.5790492	2.365414325	3.15177945	3.938144575	4.7245097	2.6977959	3.4399464	2.6746266	1.3225322	1.0214792	0.7861662	0.716461725	0.64675725	0.5103548	0.614727	2.1343472
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__50088bp__000124..full	3.750779	2.2309728	0.46841943	0.32437435	0.07121365	0.26981986	0	0	0	0.046723288	0	0	0	0	0.16507857	0.20780154	0.21221158	0.159158685	0.10610579	0.053052895	0	0	0	0	0.04707772	0.103244945	0.09398915	0.046994575	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__49638bp__000126..full	9.772928	9.322069	5.862213	3.2036133	0.8729462	0.057445515	0.26392385	0.048632767	0	0	0	0.0243750735	0.048750147	0.34148097	0.53577924	0.4975182	0.31563923	0.2367294225	0.157819615	0.0789098075	0	0	0.14919262	1.6272731	1.0668875	0.6496632	0.38834116	0.237933425	0.08752569	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__47958bp__000143..full	5.046561	4.3652024	2.9049213	2.8836231	1.3586965	1.7506962	0.7411466	0.19241443	0.33910245	0.19113131	0.16457963	0.15722054	0.14986145	0.2632123	1.4033152	1.5026977	1.7697222	1.4122126	1.054703	0.6971934	0.3396838	0.16113374	0.27783617	0.551505	0.45881847	0.5130451	0.4989301	0.8458315	1.1927329	1.4076703	0.9433914	0.43896198
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__47825bp__000144..full	18.060144	13.664057	7.130158	4.7543073	2.8218868	2.7300932	0.4070834	0.15025724	0.43498218	0.38364086	0.7963919	1.47387995	2.151368	1.1884307	1.1319238	0.9388317	0.63241845	0.5479681325	0.463517815	0.3790674975	0.29461718	0.12791461	0.118768446	0.58710754	0.6688658	0.3131133	0.21350011	0.18900448	0.16450885	0.14522493	0.10908241	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__47347bp__000151..full	3.283406	2.7351522	2.798116	2.0629997	2.805623	5.4237146	0.7733338	0.3022612	0.509787	0.64459026	2.2471178	2.10173205	1.9563463	2.2812521	4.4979734	5.034589	6.7535543	5.564905575	4.37625685	3.187608125	1.9989594	0.79729754	3.1794283	4.493166	2.8198628	2.7749496	2.3771706	2.60236945	2.8275683	2.1978574	1.9714644	0.9294134
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__47184bp__000155..full	10.002669	7.2075086	4.5815415	4.5459886	3.5393388	0.26172483	0.9040795	0.24152458	0.52356154	1.3091116	0.6439673	1.39361495	2.1432626	2.4885945	1.4606372	1.2506714	1.8100286	1.516402385	1.22277617	0.929149955	0.63552374	2.459401	13.037559	9.648308	4.4891043	2.9532962	2.857018	2.86570405	2.8743901	2.431536	1.7304732	0.56656814
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__46848bp__000158..full	7.276438	6.463074	6.0125413	4.611558	0.69158757	3.9720745	0.43451485	0.4548085	0.28192198	0.25211135	0.40897387	0.406547755	0.40412164	0.3001277	0.51934606	0.66043055	0.81794983	0.9887940225	1.159638215	1.3304824075	1.5013266	1.184509	1.0571684	0.9867388	2.5689564	2.0180967	2.1163943	1.3265774	0.5367605	0.80793184	0.7780614	3.0175486
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__45558bp__000176..full	1.8327409	1.7538054	2.5035386	2.6466675	1.27604	5.5461235	0.29938775	0.41557822	0.87993824	0.8762095	0.9897701	0.63668921	0.28360832	0.19429916	0.46496367	0.4162229	2.4447381	1.91732572	1.38991334	0.86250096	0.33508858	0.28345886	0.31713328	0.24857749	0.289075	0.3770441	0.4963493	0.44361612	0.39088294	0.24532174	0.18520023	0.1458378
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__45032bp__000183..full	2.4364955	2.0573487	1.9122784	0.8419136	0.6347583	0.13506703	0.4179259	0.04915588	0	0	0	0	0	0	0	0.06291686	0	0.01402991925	0.0280598385	0.04208975775	0.056119677	0	0	0.45458448	1.9073244	1.4892651	1.1182728	0.64863871	0.17900462	0.53926474	0.3492976	0.20290159
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__45023bp__000184..full	4.6966424	3.3914156	2.4321313	1.6056297	0.41905567	0	0	0	0	0	0.15330382	1.42573761	2.6981714	1.633658	0.77267754	0.62675714	0.1900997	0.142574775	0.09504985	0.047524925	0	0	0.04722479	0.23797467	1.1227881	1.6887474	1.2625465	0.733933115	0.20531973	0.107621685	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__44844bp__000186..full	1.4939121	1.0955207	0.9435312	0.9820041	0.3512298	1.9383163	0.13792403	0.08896515	4.195851	3.773986	4.039876	2.458973	0.87807	0.51468873	0.56150335	0.4381815	0.6043943	0.6459333	0.6874723	0.7290113	0.7705503	0.4011928	0.4666279	0.28970546	0.22358324	0.16044767	0.15414435	0.135243667	0.116342984	0.06664629	0.24077295	0.37557906
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__44580bp__000189..full	16.41515	16.579134	12.001336	9.916229	2.977984	1.5331821	0.96589565	0.3467705	1.145512	1.2506093	1.1410849	0.673770385	0.20645587	0.51723653	1.4095744	1.7336252	0.85023654	0.84666718	0.84309782	0.83952846	0.8359591	0.8986106	1.3026956	4.3587832	3.5917008	5.170027	3.8801663	3.85047375	3.8207812	6.7358484	2.9958026	2.3117542
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__41991bp__000208..full	16.150131	20.991064	13.600016	9.313518	2.0594966	3.0758498	0.344366	0.12248212	0	0.06187739	0.05783607	0.0803788525	0.102921635	0.17678352	0.27983359	0.28327763	0.35257608	0.26443206	0.17628804	0.08814402	0	0	0	0	0	0	0.25039724	0.12519862	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__41924bp__000210..full	3.7000306	3.4173396	2.9281642	2.9138834	0.7796548	2.8597174	1.4157566	0.3516782	2.2423608	2.5415783	4.1280413	2.74271035	1.3573794	1.239234	1.8899376	1.6829132	1.2997155	1.1762354	1.0527553	0.9292752	0.8057951	1.6081493	2.0142632	2.255142	1.6443585	2.0463235	1.8142501	1.21693675	0.6196234	0.5173268	0.41527012	0.89014834
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__41772bp__000211..full	23.869282	26.161242	18.005955	20.717886	13.864345	8.094768	2.2247987	1.0564078	2.359239	2.6005924	4.6641393	4.50168135	4.3392234	3.8432362	3.0159698	2.438004	2.5406642	2.150067925	1.75947165	1.368875375	0.9782791	0.5522525	0.7721522	3.7692783	5.9202075	6.301896	8.135681	9.635695	11.135709	6.1583676	5.6568475	1.9117308
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__40933bp__000221..full	0.7730981	0.5933055	0.6572892	0.71943456	0.18053676	0.60634536	0.11711745	0.07204589	0.63011664	0.52414006	0.7078039	0.44936273	0.19092156	0.14751549	0.17949373	0.14906304	0.09246373	0.152053235	0.21164274	0.271232245	0.33082175	0.4384	0.6884824	0.45710763	0.4396829	0.4453025	0.35194576	0.248516205	0.14508665	0.079954825	0.123517	0.34518242
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__40463bp__000223..full	2.59406	1.7668091	1.7066482	1.8039329	0.818258	1.9777895	0.4744471	0.0960647	0.12501037	0.06854445	0	0	0	0.07230257	1.6473438	1.4198165	4.0619636	3.06632363	2.07068366	1.07504369	0.07940372	0	0.41861132	0	0	0.2888469	0.21187644	0.18083385	0.14979126	0.11165001	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__38868bp__000244..full	2.3546603	2.0758338	0.98970276	1.1585057	0.45398727	1.0693222	0.16451474	0	0	0	0	0	0	0	0.112429745	0.10599056	0.35637107	0.2672783025	0.178185535	0.0890927675	0	0	0	0	0.21720687	0.39930582	0.44033036	0.38717353	0.3340167	0.3141562	0.10825087	0.063461855
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__38804bp__000245..full	1.9713477	1.4854848	0.6924564	0.8987311	0.34504274	0	3.6184883	9.028959	5.072916	2.9749508	3.660343	3.59820715	3.5360713	1.4905465	1.5793195	1.1114838	0.631837	1.51288175	2.3939265	3.27497125	4.156016	3.9929721	7.7448187	4.549661	2.2154076	0.9600486	1.3809211	0.89373997	0.40655884	1.0124905	2.9964302	12.141801
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__37497bp__000264..full	3.9401648	4.194176	2.4240792	2.8560712	1.9556086	0	2.007918	0.45756382	3.2533276	1.6135294	0.83555627	1.491930985	2.1483057	1.2512132	1.095472	0.88231385	0.57326156	0.76786567	0.96246978	1.15707389	1.351678	1.5243708	1.2124891	0.6134937	0.56583256	0.44775072	0.6153653	0.72649305	0.8376208	1.1890403	1.1271374	0.58480024
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__37369bp__000266..full	5.8911796	7.548024	7.7776127	4.140068	0.8688289	0.053535275	0.06761936	0	0	0	0	0	0	0.14068179	1.4215881	1.2391344	0.85948044	0.6597391675	0.459997895	0.2602566225	0.06051535	0	0	0	0.10366908	0.42233467	0.30832765	0.225943285	0.14355892	0.08454433	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__36914bp__000275..full	5.123107	4.2775984	4.1863174	4.5132833	5.1680837	1.1928266	1.6619017	0.8198355	2.0571806	1.7912798	1.9430118	1.91283895	1.8826661	1.9975709	1.4649347	1.4607402	1.868437	1.91824375	1.9680505	2.01785725	2.067664	1.8995378	2.626468	3.5041296	2.7019053	2.2091963	2.4891367	2.4461094	2.4030821	2.3324842	2.1852648	1.1299087
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__36881bp__000276..full	10.913878	10.327795	7.038868	8.51667	1.9175816	6.199371	0.9789264	0.59603655	1.1915945	1.1652088	2.5393405	2.5493183	2.5592961	3.873715	4.575587	2.6136723	2.2330406	1.7147105875	1.196380575	0.6780505625	0.15972055	0.42785677	2.2706873	1.3664527	1.7536647	1.9785128	1.6407282	1.15518905	0.6696499	0.28899768	0.19960937	0.31090385
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__36489bp__000280..full	8.856899	6.8456097	4.8695846	4.040955	1.6028519	5.7346582	1.3065569	0.35625172	0.40134957	0.46114203	0.4183439	0.231419367	0.044494834	0.074343495	2.677261	3.402351	6.740184	5.159426725	3.57866945	1.997912175	0.4171549	0.26686564	0.24147059	0.14765155	0.46843955	1.5801429	1.069051	0.801777	0.534503	0.7185385	0.4206327	0.7460745
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__36153bp__000288..full	2.358358	2.0108852	1.7044065	1.3180268	0.45948106	0	0.14833428	0	0	0	0	0.30705615	0.6141123	0.43684503	0.31666276	0.27455142	0.34776372	0.26082279	0.17388186	0.08694093	0	0	0	0	0	0	0	0	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__36038bp__000292..full	7.9404354	7.2186513	5.246225	5.7173576	1.5054845	5.3008523	0.4854037	0.5171638	1.2880023	1.4880868	2.1538675	1.3447974	0.5357273	0.40960807	0.6844034	0.40238455	0.5407239	0.41579186	0.29085982	0.16592778	0.04099574	0.19647856	0.47672242	0.33092436	0.2615188	0.19034465	0.20290166	0.13921415	0.07552664	0.060847342	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35868bp__000293..full	15.360912	15.57531	14.513728	10.265123	3.27011	10.496275	2.017393	0.7863016	1.0033633	0.8616912	1.573506	5.341099	9.108692	10.847902	7.8020697	7.2142067	2.7370229	2.2488996125	1.760776325	1.2726530375	0.78452975	0.20256805	0.26222923	0.41314313	0.84512585	0.78038263	0.6295041	0.485497215	0.34149033	0.28539708	0.30308425	0.20030178
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35821bp__000296..full	1.7937106	1.8689675	1.6566504	1.863554	0.4590177	1.5079212	0.42672962	0.38934347	0.3498541	0.4986231	0.431869	0.2159345	0	0	0.10382702	0.0745535	0.24557693	0.196054272	0.146531614	0.097008956	0.047486298	0	0.09406362	0.10064919	0.109742254	0.1665646	0.13842848	0.11802083	0.09761318	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35570bp__000300..full	1.2841603	0.5524075	0.20253575	0	0	0	0	0	0	0	0	0.0300913175	0.060182635	0	0	0.09257389	0.15757705	0.1181827875	0.078788525	0.0393942625	0	0	0	0.13200007	0.2215854	0.2576634	0.37951753	0.234790603	0.090063676	0.08076604	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35292bp__000306..full	1.9588562	1.3428737	0.66238725	0.31131735	0.16114207	0.054376345	0	0	0.980609	0.9363235	0.59397745	0.296988725	0	0	0	0	0	0.07174635	0.1434927	0.21523905	0.2869854	0.06677006	0.10057918	0	0	0	0	0	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35189bp__000309..full	4.034204	3.6888006	2.7969315	3.4429898	1.0165232	0.17470844	0.6223185	0.8287037	1.3534596	1.2069738	0.8783307	0.56980118	0.26127166	0.35851324	1.5588142	1.3256112	1.4855592	1.171351025	0.85714285	0.542934675	0.2287265	0.22191794	0.30545443	0.26194584	0.31116006	0.40589258	0.40849116	0.28770028	0.1669094	0.15131153	0.07779326	0.11128921
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35179bp__000310..full	4.2220597	3.4170759	2.893129	2.7860925	1.0216049	5.985988	0.8364148	3.7157488	4.433194	3.679152	3.5756574	2.39355195	1.2114465	0.86694396	2.2208366	1.8086582	1.8857986	1.64140705	1.3970155	1.15262395	0.9082324	0.9719603	1.1363354	1.3627564	1.074715	0.98755884	1.2170596	0.9495763	0.682093	0.4712001	0.55914325	1.2037151
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__35144bp__000311..full	5.5568986	4.4565964	2.4315138	2.1638567	0.9945449	0.05353969	0.29481354	0.14358282	0.10503987	0.09696829	0.14322503	0.268455795	0.39368656	0.42811507	0.28257552	0.24898002	0.19819383	0.2225971525	0.247000475	0.2714037975	0.29580712	0.9103421	0.45161337	0.54854506	0.24383686	0.25647375	0.2053984	0.151240005	0.09708161	0.10502124	0.065958135	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__34643bp__000319..full	12.576747	10.144181	6.087035	4.4736066	2.0951529	0.0870022	1.6065727	1.5051086	1.6540122	1.4953123	1.487077	1.078456135	0.66983527	0.6905552	0.5663348	0.7238951	1.0837697	1.030549375	0.97732905	0.924108725	0.8708884	0.5938329	1.3538318	1.5013549	0.9878971	0.8932718	0.7572824	0.667983065	0.57868373	0.53402174	0.4407777	0.23963127
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__34560bp__000321..full	0.8194244	0.6653946	0.34672776	0.2917905	0.08238256	0	0	0	0.1095816	0.19262113	0.29228175	0.254598815	0.21691588	0.17647344	0.26454094	0.17387997	0.12915535	0.10834213	0.08752891	0.06671569	0.04590247	0.13587327	0.6256569	0.30421728	0.35911036	0.25657785	0.28220394	0.18674944	0.09129494	0.05604164	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__34447bp__000322..full	17.440643	14.63549	13.8628235	12.230234	13.848965	3.9322546	10.062286	8.660886	8.152048	11.505211	15.3826885	12.84853925	10.31439	12.9703045	9.221134	9.164002	9.125774	9.59578975	10.0658055	10.53582125	11.005837	15.686055	23.292343	19.709799	10.724265	10.160325	7.649224	7.10712515	6.5650263	7.3704295	5.375115	7.263078
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__34310bp__000327..full	1.7187643	1.6769588	0.48243004	0	0.113417536	0	0.105619006	0	0	0	0	0.05470848	0.10941696	0.041475303	0	0	0	0	0	0	0	0	0	0.1365552	0.0727102	0	0	0	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__34200bp__000329..full	5.440478	6.5219154	7.858931	6.2616634	1.9456761	2.4820287	0.37321773	1.6539017	1.6052984	1.6818963	1.1620531	0.647409955	0.13276681	0.12122362	0.37444714	0.42113888	0.95591897	0.747496065	0.53907316	0.330650255	0.12222735	0.19028604	0.21839185	0.21971801	0.24240372	0.5036557	0.6002043	0.398911645	0.19761899	0.16532458	0.098288566	0.14141278
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__34145bp__000330..full	2.32716	2.3156693	2.5223005	2.1329832	2.3574903	3.357895	0.8620472	3.1513228	3.6467335	4.5091696	4.7986236	4.64504195	4.4914603	5.000797	2.3612754	2.4487164	2.2809756	4.13576645	5.9905573	7.84534815	9.700139	20.402855	4.7242856	7.39606	3.2696705	3.7861598	2.914826	2.89659875	2.8783715	2.0576506	2.519261	16.749605
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33967bp__000337..full	0.96256286	0.96289	1.2449234	0.89194494	0.38654244	0.54325473	0.28490764	0.07160412	0.08950442	0.12720135	0.14686404	0.24452806	0.34219208	0.2812296	0.38528234	0.47369695	0.27426425	0.22401202375	0.1737597975	0.12350757125	0.073255345	0.6362571	0.16815445	0.26834846	0.2045978	0.7620221	0.6581443	0.56145412	0.46476394	0.54718715	0.18822393	0.17000435
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33743bp__000342..full	13.476699	13.332226	11.539665	12.003431	5.487362	10.94713	3.5410419	1.247932	1.489922	2.2283802	4.5433187	3.3001332	2.0569477	1.9322915	2.4040194	2.1442392	2.2200444	1.846820825	1.47359725	1.100373675	0.7271501	0.7807451	1.1054476	1.5622381	1.294225	1.7169387	1.7263876	1.5003355	1.2742834	0.91722184	0.7235022	0.56309354
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33702bp__000344..full	1.3419784	1.2887471	1.529694	1.9239272	0.6400465	1.8478764	0.33545697	0.09568514	0.086541295	0.1421996	0.15765493	0.207241845	0.25682876	0.35184264	1.3783243	0.7401535	2.2034063	1.7021616475	1.200916995	0.6996723425	0.19842769	0.15149407	0.29779598	0.11120862	0.09763423	0.13187851	0.15099728	0.30831699	0.4656367	0.34039384	0.40349555	0.35384706
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33602bp__000348..full	7.8558326	7.7383456	5.668806	4.9529414	1.333786	3.4231315	1.2330061	1.018257	0.87381613	0.7814825	1.5148903	1.56453955	1.6141888	1.1881862	2.2139997	2.6401222	2.9538102	2.9117046	2.869599	2.8274934	2.7853878	1.8058072	2.5556908	2.3105063	4.7260995	4.0685644	3.262887	2.42030335	1.5777197	1.9600974	1.832626	3.173901
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33597bp__000350..full	6.503615	7.8510327	3.150229	0.93239915	0.2565898	0	0	0	0	0	0	0.0259349475	0.051869895	0	0.09274159	0.055285875	0	0	0	0	0	0	0	0	0.20241362	0.12337582	0.05514798	0.02757399	0	0	0	0
X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__33430bp__000357..full	1.4419804	1.1062477	1.3384573	1.1042091	1.1624379	0.60160154	0.34151152	0.25532147	0.8539319	0.9406647	1.1863761	0.83292027	0.47946444	0.4134374	0.3353627	0.34988484	0.4301422	0.555352375	0.68056255	0.805772725	0.9309829	3.4379768	3.108549	3.3526418	1.262985	0.7145523	0.5387579	0.503928115	0.46909833	0.36692768	0.45911106	0.44854954
