	X1.2018-Nov	X2.2018-Dec	X3.2019-Jan	X4.2019-Feb	X5.2019-Mar	X6.2019-Apr	X7.2019-May	X8.2019-Jun	X9.2019-Jul	X10.2019-Aug	X11.2019-Sep	X12.2019-Oct	X13.2019-Nov	X14.2019-Dec	X15.2020-Jan	X16.2020-Feb	X17.2020-Mar	X18.2020-Apr	X19.2020-May	X20.2020-Jun	X21.2020-Jul	X22.2020-Aug	X23.2020-Sep	X24.2020-Oct	X25.2020-Nov	X26.2020-Dec	X27.2021-Jan	X28.2021-Feb	X29.2021-Mar	X30.2021-Apr	X31.2021-May	X32.2021-Jun
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__52986bp__000038..full	0.22737075	0.63944906	5.794692	5.748041	1.8163285	0.22731824	1.7567533	0.43607983	0.44225904	0.9448069	1.0530883	0.8497828	0.6464773	9.044698	16.53068	28.225382	4.732644	3.684021975	2.63539995	1.586777925	0.5381559	0.39269218	0.25450832	1.0387014	13.170281	42.688595	20.97389	13.86424525	6.7546005	10.904193	3.8228245	6.9587216
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__48116bp__000051..full	4.6957936	4.396455	3.5416074	3.1552548	2.638798	0.13654931	1.9485056	4.265411	4.3325977	2.0536454	1.5061778	1.3664703	1.2267628	1.542267	0.8099191	1.0250994	1.936389	2.7063681	3.4763472	4.2463263	5.0163054	2.4004261	9.5286875	13.2498045	7.48664	3.8378382	3.5904768	2.66759535	1.7447139	1.4571794	1.5262499	1.8388448
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__45745bp__000058..full	1.0747079	0.7403491	0.78539515	0.51126224	0.25342426	0	13.258915	19.343279	12.750416	16.887558	10.431974	7.42460825	4.4172425	1.7269076	1.0648869	1.167111	0.5186871	0.605895325	0.69310355	0.780311775	0.86752	1.004441	1.7148981	4.024196	1.8702989	1.6537863	1.2726344	0.893190035	0.51374567	0.35479775	0.31114244	6.4737697
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__45435bp__000059..full	0.18618691	0.1507985	0.068683505	0	0	0	0.18187703	28.131477	9.20836	5.672256	3.3326416	2.22688325	1.1211249	0.41419494	0.2633067	0.24666592	0.14907604	2.38065728	4.61223852	6.84381976	9.075401	50.47685	7.413767	2.6739275	0.60232115	0.33331415	0.2352299	0.160193335	0.08515677	0.18913858	2.178979	15.260346
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__43002bp__000069..full	0.9656038	0.9065085	0.6077122	0.46068034	0	0.2294412	1.335037	2.6175241	11.542371	5.426781	2.5186841	1.45124986	0.38381562	0.31503555	0.29506853	0.32276538	0.54199815	3.0152268625	5.488455575	7.9616842875	10.434913	1.9386598	1.5870398	0.75766355	0.3783101	0.30904916	0.24382445	0.158308613	0.072792776	0.27123374	0.737276	18.675398
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__41312bp__000075..full	2.080824	1.6353898	1.7858571	1.6642015	1.3038986	0.068497345	3.9262404	2.1386657	41.750412	16.33521	9.643641	10.077632	10.511623	8.279679	9.537031	10.388407	4.947778	4.46320625	3.9786345	3.49406275	3.009491	1.7293695	4.0239425	9.095878	2.2616374	1.683974	1.2809025	0.998263265	0.71562403	1.8300025	1.406109	10.013957
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__40485bp__000084..full	2.7905788	5.111311	6.6102896	12.266709	5.9685555	15.266118	4.0193906	1.5451317	2.4236882	2.2149057	2.5306869	1.59165793	0.65262896	0.50377214	0.53574747	0.48019153	0.9009414	5.47783255	10.0547237	14.63161485	19.208506	7.9695287	3.6094553	1.8645895	1.3831209	1.6549029	2.4268563	3.302663	4.1784697	8.541963	9.7451315	17.641315
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__40031bp__000086..full	4.2321553	4.4742436	3.9502044	3.024342	1.5492903	2.9576526	0.7024412	1.1323681	1.7416898	3.245155	5.01477	4.0415108	3.0682516	2.2575088	1.2377157	1.552358	0.7873848	1.1049473	1.4225098	1.7400723	2.0576348	4.710489	2.962699	4.936572	4.4232435	6.858233	4.626976	3.44274865	2.2585213	2.4928737	1.2499076	16.919167
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__39368bp__000092..full	3.1493945	2.4670463	1.340242	0.30764142	3.0383182	0	8.476885	14.581033	5.373944	4.132357	2.0590565	2.21729575	2.375535	1.1154534	1.1988956	1.5539851	0.56538665	4.4066899875	8.247993325	12.0892966625	15.9306	8.01826	0.77834284	2.4986677	1.7057432	0.8180551	1.3213016	1.0384121	0.7555226	9.906174	6.8493967	17.767986
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__34541bp__000121..full	2.3071098	2.4431598	3.0177765	3.6226628	1.7678115	5.8687506	1.545683	0.8521931	1.9823487	1.8416326	2.3781896	1.62983172	0.88147384	1.0521685	2.8113863	2.1710896	3.2824762	3.3530944	3.4237126	3.4943308	3.564949	2.3451455	2.3834116	1.7234774	1.4444097	1.8508735	2.3331501	2.5657043	2.7982585	3.5517325	3.7574172	10.540558
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__33748bp__000125..full	0.12104437	0	0	0	0.29269242	0	0.4955764	0.47805768	0.1273484	0.17672354	0.2169294	0.159486165	0.10204293	0.060411572	0.15940277	0.211312	0.3934102	0.4078925125	0.422374825	0.4368571375	0.45133945	0.5329451	0.06220281	0.1333931	0.23786384	0.9431609	1.2402757	2.823146	4.4060163	2.7064664	9.314082	6.4854546
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__33490bp__000126..full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11820303	0.23640606	0.35460909	0.47281212	2.9325683	1.202796	1.0489081	0.3927312	0.059607547	0	0	0	0	0.19587895	2.0954263
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__33336bp__000128..full	0	0	0	0	0	0	0.42196316	2.2519023	1.5583122	0.5579389	0.2585295	0.27533064	0.29213178	0.16797751	0.23707584	0.25341076	0.63899267	1.5542580025	2.469523335	3.3847886675	4.300054	0.4086728	0.19921222	0.17648512	0.10220343	0.1718675	0.21243136	0.17503209	0.13763282	0.16622475	0.34116516	3.311197
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__32800bp__000136..full	1.9591315	1.82995	1.776244	1.5162065	1.4022517	2.138943	0.90552914	8.6574335	6.1269016	6.2243423	6.757306	4.3757055	1.994105	2.13759	1.347169	1.2813864	1.0328397	1.438716825	1.84459395	2.250471075	2.6563482	1.6678399	3.2209938	2.279682	1.1079179	0.93169725	0.7292109	0.62153303	0.51385516	0.49367115	0.6086066	1.3864585
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__32727bp__000140..full	24.41527	21.989798	20.723448	22.565311	26.651112	5.6976857	9.073951	5.1652503	15.95564	13.737131	15.686394	14.718808	13.751222	14.494064	11.168934	11.119675	13.062172	17.0170345	20.971897	24.9267595	28.881622	25.849735	35.533817	41.91469	32.544888	26.22507	29.843023	28.143298	26.443573	28.12041	29.852757	17.975872
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__31932bp__000151..full	1.0371275	0.8364933	0.5828721	0.47959295	0.2486982	0	0.42211324	0.1032651	7.8123503	3.9326236	1.9206374	1.1047485	0.2888596	0.5922933	1.0194962	1.1833911	0.5201071	3.335423825	6.15074055	8.966057275	11.781374	5.848351	2.0814984	0.98995644	0.45410553	0.4227214	0.33444712	0.226888707	0.119330294	0.17782111	2.5736914	6.8036475
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__29531bp__000170..full	2.9535017	2.8277273	1.5881661	1.5390037	0.45916748	0.05947978	0.11478056	1.8123622	0.8732129	0.5837322	1.0439985	1.54352775	2.043057	1.6321423	2.2112017	1.7209014	1.6723303	1.59624705	1.5201638	1.44408055	1.3679973	1.184864	5.2747197	7.8411803	3.5538929	1.9700958	2.095389	1.343010125	0.59063125	1.2121601	1.7516418	9.729337
X2021.Jun.viral.fraction__viral.spades.short__as.yet.unknown__28791bp__000185..full	1.2885922	1.5259691	1.3139231	1.0783215	0.5956895	2.4428153	0.30824792	0.106308684	0.0690848	0.03804596	0.075953074	0.101730142	0.12750721	0.11242722	0.18384194	0.33445182	0.39572835	1.0852603875	1.774792425	2.4643244625	3.1538565	0.6523523	0.638027	0.28794083	0.25115794	0.31257007	0.45140508	0.99909734	1.5467896	1.6992176	1.7398386	1.9052197
