klusters_tree_list3	obs
28	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__20206bp__001136..full
26	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__20441bp__001107..full
35	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__20512bp__001094..full
14	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__20662bp__001075..full
31	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__20892bp__001042..full
33	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__21163bp__001004..full
21	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__22016bp__000929..full
29	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__22404bp__000903..full
12	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__22551bp__000896..full
62	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__22650bp__000887..full
45	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__22776bp__000874..full
35	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__23144bp__000844..full
1	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__24048bp__000781..full
56	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__24262bp__000759..full
11	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__24290bp__000756..full
35	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__24597bp__000735..full
32	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__24734bp__000730..full
35	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__24768bp__000728..full
12	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__25034bp__000714..full
35	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__25204bp__000705..full
34	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__25254bp__000700..full
22	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__25829bp__000665..full
72	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__26270bp__000640..full
32	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__26441bp__000633..full
35	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__26793bp__000613..full
13	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__27024bp__000598..full
6	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__27080bp__000596..full
82	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__27176bp__000592..full
92	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__27408bp__000578..full
36	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__27587bp__000565..full
96	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__28227bp__000543..full
35	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__28724bp__000520..full
30	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__28769bp__000519..full
35	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__28819bp__000517..full
21	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__29074bp__000506..full
34	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__29719bp__000484..full
19	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__30303bp__000464..full
34	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__30410bp__000462..full
29	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__30443bp__000460..full
63	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__30542bp__000458..full
96	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__30828bp__000450..full
5	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__30854bp__000449..full
37	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__31000bp__000445..full
4	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__31035bp__000443..full
11	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__31107bp__000440..full
11	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__31125bp__000437..full
48	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__31286bp__000431..full
21	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__32091bp__000407..full
33	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__32423bp__000399..full
17	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__32720bp__000390..full
31	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__32915bp__000383..full
11	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__33480bp__000363..full
26	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__33770bp__000355..full
34	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__34160bp__000344..full
78	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__34382bp__000339..full
14	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__35143bp__000323..full
7	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__35425bp__000318..full
1	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__35657bp__000309..full
30	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__35884bp__000304..full
3	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__36154bp__000298..full
8	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__36697bp__000290..full
31	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__37250bp__000277..full
48	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__37624bp__000271..full
5	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__37856bp__000265..full
30	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__37860bp__000264..full
6	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__37956bp__000262..full
19	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__38030bp__000260..full
11	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__38251bp__000255..full
11	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__38609bp__000245..full
5	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__39588bp__000231..full
1	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__40384bp__000218..full
5	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__40411bp__000217..full
35	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__40602bp__000209..full
45	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__41268bp__000200..full
32	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__42196bp__000191..full
11	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__42317bp__000190..full
11	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__42801bp__000186..full
28	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__43251bp__000180..full
40	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__43320bp__000177..full
35	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__43639bp__000172..full
1	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__44191bp__000169..full
11	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__44810bp__000165..full
65	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__45190bp__000161..full
1	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__45234bp__000158..full
1	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__45969bp__000153..full
34	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__46210bp__000148..full
1	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__46260bp__000146..full
4	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__46954bp__000140..full
12	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__47931bp__000135..full
30	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__48289bp__000131..full
30	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__50354bp__000118..full
11	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__51435bp__000113..full
16	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__53109bp__000098..full
14	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__53323bp__000096..full
19	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__53636bp__000093..full
26	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__54621bp__000088..full
65	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__55067bp__000086..full
43	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__55364bp__000081..full
43	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__56056bp__000077..full
5	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__56803bp__000071..full
6	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__56875bp__000070..full
11	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__57149bp__000068..full
52	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__60471bp__000054..full
29	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__62420bp__000050..full
21	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__66582bp__000036..full
31	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__71237bp__000030..full
4	X2019.Jan.viral.fraction__viral.spades.short__as.yet.unknown__98442bp__000008..full
2	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__11266bp__002286..full
50	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__12376bp__001829..full
62	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__12814bp__001702..full
83	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__14818bp__001240..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__15474bp__001131..full
47	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__16187bp__001032..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__17103bp__000912..full
67	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__17184bp__000898..full
50	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__17542bp__000855..full
70	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__17824bp__000832..full
43	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__18088bp__000802..full
69	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__18539bp__000772..full
47	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__19001bp__000724..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__19565bp__000676..full
85	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__19669bp__000672..full
27	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__20718bp__000600..full
42	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__20794bp__000594..full
50	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__21052bp__000575..full
25	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__21443bp__000563..full
70	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__21444bp__000562..full
2	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__21571bp__000553..full
69	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__21616bp__000550..full
77	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__22902bp__000496..full
50	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__24587bp__000428..full
77	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__24887bp__000418..full
71	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__25059bp__000410..full
50	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__25752bp__000387..full
50	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__26033bp__000377..full
71	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__26952bp__000350..full
12	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__27051bp__000349..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__27339bp__000337..full
31	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__28150bp__000316..full
22	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__28547bp__000309..full
25	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__28741bp__000303..full
60	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__28789bp__000302..full
47	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__28874bp__000301..full
97	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__30016bp__000275..full
50	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__30177bp__000271..full
2	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__30406bp__000267..full
41	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__30417bp__000266..full
70	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__30467bp__000263..full
72	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__30484bp__000262..full
42	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__30586bp__000257..full
81	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__30707bp__000255..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__30891bp__000253..full
17	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__30953bp__000252..full
94	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__31093bp__000247..full
43	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__31430bp__000241..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__31557bp__000237..full
79	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__32494bp__000219..full
3	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__32689bp__000216..full
47	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__32791bp__000215..full
69	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__32873bp__000213..full
75	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__33750bp__000196..full
71	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__33958bp__000194..full
12	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__34165bp__000189..full
43	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__34365bp__000186..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__34685bp__000182..full
25	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__35315bp__000172..full
74	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__35477bp__000170..full
79	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__35697bp__000168..full
35	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__35772bp__000167..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__36419bp__000160..full
70	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__36878bp__000157..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__37063bp__000154..full
68	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__37164bp__000152..full
46	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__37299bp__000150..full
22	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__37455bp__000148..full
70	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__38431bp__000143..full
50	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__39034bp__000140..full
83	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__39406bp__000136..full
94	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__40866bp__000125..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__41292bp__000122..full
29	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__41484bp__000120..full
69	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__41574bp__000119..full
50	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__41770bp__000118..full
63	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__42687bp__000111..full
71	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__43081bp__000109..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__43774bp__000107..full
57	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__44159bp__000104..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__44987bp__000097..full
47	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__45375bp__000095..full
25	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__47062bp__000088..full
50	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__48488bp__000084..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__49267bp__000079..full
69	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__49424bp__000078..full
26	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__50989bp__000069..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__51221bp__000068..full
69	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__52404bp__000063..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__52431bp__000062..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__52948bp__000061..full
2	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__53245bp__000059..full
69	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__53452bp__000057..full
70	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__54284bp__000055..full
77	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__54756bp__000054..full
78	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__55538bp__000050..full
43	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__56693bp__000048..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__57051bp__000047..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__58308bp__000043..full
71	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__59578bp__000042..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__64960bp__000028..full
2	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__65322bp__000026..full
70	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__69159bp__000017..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__71902bp__000012..full
50	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__78462bp__000008..full
73	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__80981bp__000007..full
71	X2019.Jul.viral.fraction__viral.spades.short__as.yet.unknown__89127bp__000004..full
73	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__12514bp__001485..full
29	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__12723bp__001427..full
98	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__154656bp__000001..full
78	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__17650bp__000764..full
76	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__17918bp__000732..full
78	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__17947bp__000730..full
58	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__18139bp__000714..full
12	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__18305bp__000700..full
78	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__18367bp__000693..full
7	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__19747bp__000590..full
43	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__19815bp__000586..full
31	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__20203bp__000570..full
73	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__20631bp__000539..full
43	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__21038bp__000508..full
73	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__21170bp__000498..full
94	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__21993bp__000457..full
78	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__22964bp__000422..full
94	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__23281bp__000409..full
73	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__24705bp__000375..full
99	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__25141bp__000356..full
6	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__25763bp__000333..full
17	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__26090bp__000322..full
43	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__26127bp__000320..full
7	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__26934bp__000291..full
25	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__27731bp__000272..full
12	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__28015bp__000266..full
1	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__28239bp__000265..full
47	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__28659bp__000254..full
94	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__29255bp__000242..full
78	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__29378bp__000238..full
78	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__30384bp__000226..full
78	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__30502bp__000222..full
78	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__30796bp__000214..full
71	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__31204bp__000206..full
72	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__31597bp__000199..full
31	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__31654bp__000195..full
73	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__31696bp__000194..full
85	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__31947bp__000190..full
79	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__32118bp__000188..full
22	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__32336bp__000183..full
98	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__32577bp__000178..full
78	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__32953bp__000173..full
72	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__33298bp__000171..full
31	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__33455bp__000168..full
72	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__33493bp__000167..full
43	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__33949bp__000162..full
6	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__34039bp__000161..full
58	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__35886bp__000152..full
97	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__36663bp__000144..full
71	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__38254bp__000135..full
58	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__39207bp__000131..full
71	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__39578bp__000125..full
58	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__40446bp__000118..full
72	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__40689bp__000114..full
98	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__40912bp__000110..full
78	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__41731bp__000105..full
73	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__41734bp__000104..full
94	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__42657bp__000101..full
43	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__43426bp__000097..full
27	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__43451bp__000095..full
98	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__44309bp__000087..full
50	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__45339bp__000078..full
99	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__46202bp__000073..full
41	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__47110bp__000070..full
25	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__47157bp__000068..full
4	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__47561bp__000067..full
24	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__51440bp__000051..full
71	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__54566bp__000042..full
43	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__56813bp__000034..full
72	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__57003bp__000032..full
50	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__59209bp__000029..full
78	X2019.Jun.viral.fraction__viral.spades.short__as.yet.unknown__62965bp__000020..full
65	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__101424bp__000036..full
65	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__102096bp__000035..full
52	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__108176bp__000029..full
53	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__124078bp__000022..full
74	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__13653bp__002336..full
55	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__14245bp__002147..full
27	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__14437bp__002093..full
11	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__15322bp__001884..full
1	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__15687bp__001797..full
27	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__17575bp__001465..full
9	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__17777bp__001436..full
48	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__18053bp__001408..full
31	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__183656bp__000009..full
21	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__18614bp__001323..full
34	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__18906bp__001277..full
26	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__19695bp__001168..full
34	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__19976bp__001142..full
49	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__20409bp__001101..full
29	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__21101bp__001029..full
56	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__21503bp__000990..full
100	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__21844bp__000954..full
33	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__21911bp__000949..full
35	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__22536bp__000898..full
12	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__22645bp__000886..full
54	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__22704bp__000882..full
55	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__22909bp__000868..full
35	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__24030bp__000771..full
6	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__25662bp__000677..full
27	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__26740bp__000623..full
49	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__27192bp__000593..full
33	X2019.Mar.viral.fraction__viral.spades.short__as.yet.unknown__27783bp__000561..full
