klusters_tree_list3	obs
30	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__35411bp__000322..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__35414bp__000321..full
10	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__35769bp__000312..full
18	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__35920bp__000309..full
18	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__36370bp__000300..full
26	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__36445bp__000296..full
30	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__37138bp__000281..full
28	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__37638bp__000276..full
28	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__37767bp__000272..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__38256bp__000264..full
28	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__38279bp__000263..full
19	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__38290bp__000262..full
28	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__39734bp__000244..full
31	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__40166bp__000236..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__40313bp__000233..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__40757bp__000229..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__41021bp__000226..full
14	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__41300bp__000221..full
30	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__43347bp__000205..full
32	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__43364bp__000204..full
30	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__43495bp__000203..full
1	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__44070bp__000199..full
8	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__44593bp__000194..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__45397bp__000187..full
1	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__45412bp__000186..full
18	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__45633bp__000182..full
33	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__45768bp__000181..full
14	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__46435bp__000174..full
31	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__46795bp__000171..full
8	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__47628bp__000162..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__47852bp__000159..full
14	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__47879bp__000158..full
14	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__48771bp__000147..full
34	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__49851bp__000141..full
35	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__50140bp__000140..full
11	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__53801bp__000117..full
4	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__54788bp__000109..full
36	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__55015bp__000108..full
37	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__55064bp__000107..full
1	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__55396bp__000106..full
30	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__56449bp__000100..full
11	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__57089bp__000098..full
5	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__57649bp__000096..full
8	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__58138bp__000092..full
15	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__58451bp__000091..full
18	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__60899bp__000078..full
14	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__64914bp__000073..full
12	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__69991bp__000061..full
32	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__87109bp__000030..full
30	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__92842bp__000023..full
18	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__97189bp__000020..full
3	X2018.Dec.viral.fraction__viral.spades.short__as.yet.unknown__98833bp__000018..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__119873bp__000010..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__11994bp__002714..full
26	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__14019bp__002031..full
6	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__15805bp__001612..full
13	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__17054bp__001397..full
18	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__17955bp__001298..full
13	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__17960bp__001296..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__18381bp__001238..full
